ym,partner_group,nbothpos,valbothpos,nbothzero,valbothzero,nimpfriction,valimpfriction,ntrackermiss,valtrackermiss,n_total,val_total,pct_n_bothzero,pct_val_bothzero,pct_n_bothpos,pct_val_bothpos,pct_n_trackermiss,pct_val_trackermiss,pct_n_impfriction,pct_val_impfriction
2025m10,UK,5063,2444828332,234,1435341236,283,201805989,420,1051501226,6000,5133476783,3.9,27.96041156265224,84.38333333333333,47.62519507434578,7.000000000000001,20.48321771868428,4.716666666666667,3.931175644317704
2025m11,Canada,3872,17042464346,2197,3839812992,1988,7138993315,31,277797892,8088,28299068545,27.16369930761622,13.56869038249117,47.87339268051434,60.22270421692425,.3832838773491593,.9816503025824238,24.57962413452028,25.22695509800215
2025m11,China,10198,18381280081,48,1435013970,158,10300773,2,205994173,10406,20032588997,.4612723428791082,7.163397453094565,98.00115318085719,91.75688715898232,.0192196809532962,1.028295309362404,1.518354795310398,.0514200785607023
2025m11,EU,14482,9823215371,688,5359463428,1747,407051089,1106,1455156457,18023,17044886345,3.817344504244576,31.44323358643082,80.35288242800866,57.63145128791999,6.136603229207124,8.537202463816135,9.693169838539644,2.388112661833064
2025m11,Japan,5278,9099101175,205,1059889579,342,214154499,406,1131827280,6231,11504972533,3.290001604878832,9.212447713020541,84.70550473439256,79.08842154034545,6.515808056491734,9.837722573900558,5.48868560423688,1.861408172733445
2025m11,Mexico,3208,39047964900,1882,2835794352,1333,2498421450,28,193127144,6451,44575307846,29.17377150829329,6.361805423301126,49.72872422880174,87.59998929206273,.4340412339172222,.4332603706680411,20.66346302898776,5.604944913968099
2025m11,ROW,89659,51157109995,5159,23920700832,6833,4976448688,6883,42883977450,108534,122938236965,4.753349180901837,19.45749461073703,82.60913630751654,41.61204134525226,6.341791512337148,34.88253818233044,6.295722999244477,4.047925861680263
2025m11,S. Korea,3908,6124758732,169,599646155,233,105255099,297,1665848754,4607,8495508740,3.668330800955069,7.058390184176304,84.82743650965922,72.09407840595077,6.446711525938789,19.60858148678686,5.057521163446928,1.238949923086066
2025m11,UK,4933,2550120719,225,1516524456,293,100157871,427,751368272,5878,4918171318,3.827832596121129,30.83512870830011,83.92310309629126,51.85099408121106,7.264375637972099,15.27739119721327,4.984688669615515,2.036486013275554
2025m12,Canada,3892,12643937982,2128,3583519502,1966,15289314872,42,286247513,8028,31803019869,26.50722471350274,11.26785920570089,48.48031888390633,39.757035759754,.523168908819133,.9000639378872943,24.4892874937718,48.07504109665781
2025m12,China,10456,18087521515,47,1438203984,177,18264850,3,261074087,10683,19805064436,.4399513245343069,7.261799064817747,97.87512870916409,91.32775898533309,.02808199943836,1.318218821471952,1.656837966863241,.0922231283772027
2025m12,EU,14859,10627907635,732,6121612017,1789,508384687,1202,1629564806,18582,18887469145,3.939296092993219,32.41097031054872,79.96448175653859,56.26962275045453,6.468625551609083,8.627756283754872,9.62759659885911,2.691650655241878
2025m12,Japan,5328,9212321988,215,1391229797,325,228383045,434,1133770711,6302,11965705541,3.41161536020311,11.62680957034258,84.54458901935892,76.98937564888553,6.886702634084417,9.475168071913362,5.157092986353538,1.908646708858536
2025m12,Mexico,3311,34899198100,1924,3278231370,1321,3725626591,29,230324617,6585,42133380678,29.21791951404708,7.780603685836519,50.28094153378891,82.83028216205462,.4403948367501898,.5466559134198892,20.06074411541382,8.842458238688975
2025m12,ROW,91659,53517870856,6132,27880021617,6874,6403068559,7514,48549169623,112179,136350130655,5.466263739202525,20.4473743318541,81.70780627390153,39.25032605316208,6.698223375141516,35.60625089963542,6.127706611754428,4.696048715348406
2025m12,S. Korea,3963,6944038086,216,2082557364,404,403239009,306,2111989383,4889,11541823842,4.418081407240745,18.04357259744079,81.05952137451422,60.16413160570918,6.258948660257721,18.29857578760298,8.263448557987319,3.493720009247045
2025m12,UK,5040,3139298360,219,1483722909,268,128506331,444,945095582,5971,5696623182,3.667727348852789,26.0456565512042,84.40797186400938,55.10805717182507,7.435940378496064,16.59045283153503,4.488360408641769,2.255833445435711
2026m1,Canada,3724,11294291896,1881,3672965906,2143,12863393396,191,431568597,7939,28262219795,23.69316034765084,12.99602767454877,46.90767099130873,39.96250817495279,2.405844564806651,1.527015924900389,26.99332409623378,45.51444822559805
2026m1,China,10495,18859283356,49,1301305182,164,16619893,2,295272746,10710,20472481177,.4575163398692811,6.356362820652943,97.99253034547152,92.12016459044368,.0186741363211951,1.442290963401773,1.531279178338002,.0811816255016113
2026m1,EU,14259,9367916221,732,2993200178,1755,303936238,1119,1365183909,17865,14030236546,4.097397145256087,21.33392525625918,79.81528127623847,66.76948168540166,6.263643996641479,9.730298591360613,9.823677581863979,2.166294466978547
2026m1,Japan,5373,8920967613,226,853808737,344,170332593,409,1134590892,6352,11079699835,3.557934508816121,7.706063789768723,84.58753148614609,80.51632937581292,6.438916876574307,10.24026741605315,5.415617128463476,1.537339418365209
2026m1,Mexico,3134,35416995962,1640,3043692743,1424,3379588773,161,373503901,6359,42213781379,25.79021858782827,7.21018739276965,49.28447869161818,83.89913152774041,2.531844629658751,.8847913851797371,22.39345809089479,8.005889694310202
2026m1,ROW,87941,51080763374,6068,24370123816,7090,6987683865,6963,44394922899,108062,126833493954,5.615294923284782,19.21426514106641,81.38013362699191,40.27387544218089,6.443523162628861,35.00252300476809,6.561048287094446,5.509336411984593
2026m1,S. Korea,4072,7342801561,203,2103995058,284,246515060,319,1961700250,4878,11655011929,4.161541615416154,18.05227717326346,83.47683476834769,63.00123591233434,6.539565395653957,16.83138774932437,5.822058220582206,2.115099165077826
2026m1,UK,4917,2343453039,251,1785520311,287,129668893,424,605596512,5879,4864238755,4.26943357713897,36.70708616357793,83.63667290355504,48.1771795554061,7.212110903214833,12.44997506295309,4.881782616091172,2.665759218062889
2026m2,Canada,3696,18670620816,1862,2399604687,2301,7542526254,203,381215328,8062,28993967085,23.0960059538576,8.276220635710914,45.84470354750682,64.39484724965155,2.517985611510791,1.314809135577799,28.54130488712478,26.01412297905974
2026m2,China,10223,17279090582,1,803262653,231,426607670,0,0,10455,18508960905,.0095648015303682,4.339858175306897,97.78096604495457,93.3552708371232,0,0,2.209469153515065,2.304870987569899
2026m2,EU,15765,8315204991,518,1548008690,648,1165963096,957,1199790841,17888,12228967618,2.895796064400715,12.65853944793723,88.1317084078712,67.99596867654409,5.349955277280858,9.811055834623438,3.622540250447227,9.534436040895239
2026m2,Japan,5581,8297746643,150,894946403,202,253566444,361,1148426966,6294,10594686456,2.383222116301239,8.447124950008996,88.67175087384811,78.31988872403871,5.735621226564983,10.83965033575506,3.209405783285669,2.393335990197236
2026m2,Mexico,3159,36398728846,1647,2433649159,1542,4446176803,161,429488842,6509,43708043650,25.30342602550315,5.567966341591223,48.53280073744047,83.27695729753853,2.473498233215548,.9826311272112953,23.69027500384083,10.17244523365895
2026m2,ROW,92515,48821375677,3819,17434351861,6444,8276963739,6139,45485614847,108917,120018306124,3.506339689855578,14.52641053189607,84.94082650091353,40.67827421806715,5.636402030904267,37.89889752318731,5.916431778326616,6.896417726849472
2026m2,S. Korea,3925,6672283329,136,1305538882,349,271007044,271,3332476166,4681,11581305421,2.905362102114933,11.27281281808447,83.84960478530229,57.61253232214538,5.789361247596667,28.77461602866747,7.455671864986114,2.340038831102683
2026m2,UK,5208,2537688317,174,1137499218,201,475117363,359,778264246,5942,4928569144,2.92830696735106,23.07970497654035,87.64725681588691,51.48935203819471,6.041736788959946,15.79087607906348,3.382699427802087,9.640066906201449
2026m3,Canada,3689,14365938377,2134,6160875511,1960,4524011046,599,8954795501,8382,34005620435,25.45931758530184,18.11722718830023,44.01097590073968,42.24577641351892,7.146265807683131,26.33328075315265,23.38344070627535,13.30371564502819
2026m3,China,10432,16389063283,108,1272070060,195,604502260,81,1624064734,10816,19889700337,.9985207100591716,6.395622047827537,96.44970414201184,82.39974964586114,.7488905325443787,8.165355467818781,1.802884615384615,3.039272838492539
2026m3,EU,17997,11968573035,544,2351325939,586,1102752360,1050,1649683386,20177,17072334720,2.696139168360014,13.7727263292551,89.19561877385142,70.10507485528025,5.203945085988997,9.662904418500061,2.904296971799574,6.459294396964587
2026m3,Japan,6097,10516245532,159,558929914,186,252654445,380,1359194115,6822,12687024006,2.330694810905892,4.405524209110573,89.37261800058633,82.88977404808735,5.570214013485781,10.71326194667248,2.726473175021987,1.991439796129602
2026m3,Mexico,3171,29369254299,1817,3822325548,1407,3095941029,492,15162645357,6887,51450166233,26.38304051110789,7.429180171527553,46.04326992885146,57.08291430196126,7.143894293596631,29.47054687507447,20.42979526644402,6.017358651436721
2026m3,ROW,102669,57551464945,4070,19572911510,6329,9465653587,6603,58911046511,119671,145501076553,3.400991050463353,13.45207332735466,85.79271502703246,39.55397878038132,5.517627495383175,40.48839218694108,5.288666427121023,6.505555705322946
2026m3,S. Korea,4376,7094213883,124,1096347004,228,333428282,305,4024287928,5033,12548277097,2.4637393204848,8.73703214811945,86.94615537452812,56.53536201153911,6.060003973773098,32.07044199687073,4.530101331213988,2.65716384347071
2026m3,UK,5682,3603323277,190,771687632,222,605694727,376,1031505257,6470,6012210893,2.936630602782071,12.83533870873481,87.82071097372489,59.93341453133885,5.811437403400308,17.15683756537846,3.431221020092735,10.07440919454786
